title	repository	comment
	https://github.com/Sonner114514/huaipin	
	https://github.com/sunsun8170/Onion-Rime-Bopomo-Revised	
	https://github.com/syimyuzya/rime-tupa-sp	
	https://github.com/VSteveHL/Rime-flypy	
	https://github.com/waveform/ziguang_shuangpin	
	https://github.com/xhrzg2017/rime-kylinpinyin	
	https://github.com/zhanghaozhecn/rime-combo-pinyin-mod	
%	[amorphobia/gedao.schema.yaml](https://gist.github.com/amorphobia/79f7e1a0d8bc4b524b1bee3d3d4c12c7)	格道双拼
%	[lotem/default.custom.yaml](https://gist.github.com/lotem/2981316)	使用 Control 鍵切換中西文，上屏已輸入的編碼；令 Caps Lock 改變字母的大小寫
%	[lotem/luna_pinyin.custom.yaml](https://gist.github.com/lotem/2320943)	【朙月拼音】模糊音定製模板
%	[zzz67240/double_pinyin_flypy.custom.yaml](https://gist.github.com/zzz67240/fa920d255d56b9fa310e4f0864e22a29)	Rime 小鶴雙拼 臺灣正體中文
### 形码（五笔、仓颉等）		
	https://github.com/092wb/092wb	
	https://github.com/Ace-Who/rime-xuma	Rime 徐码输入方案
	https://github.com/aLIEz-QI/Rime-wubi091	
	https://github.com/allencch/wubiluna	
	https://github.com/arpcn/rime-shanren3	
	https://github.com/arzyu/rime-wubi98	
	https://github.com/cherrry/rime.hk	
	https://github.com/chiahsien/RimeDayi	大易字碼表
	https://github.com/ethantang1024/rime-xfsm	
	https://github.com/forfudan/xuma	
	https://github.com/gaboolic/rime-wubi-sentence	
	https://github.com/hertz-hwang/Rime-tiger_pure	
	https://github.com/hertz-hwang/wf-ll	
	https://github.com/hsuanyi-chou/rime-liur	嘸蝦米方案
	https://github.com/hugh7007/xmjd6-rere	
	https://github.com/jacyl4/rime_wubi	
	https://github.com/jim60105/Newcj_rime	
	https://github.com/kingzcheung/rime-wubi	
	https://github.com/kitty-panics/rime-selfuse-tables	
	https://github.com/lakent/rime-yi	
	https://github.com/liaoheng/rime-wubi86-jidian	
	https://github.com/lost-melody/rime-smyh	吉旦餅，基於“宇浩輸入法”
	https://github.com/LS-Hower/rime-wubi86-ext	
	https://github.com/lxgw/wubi86-super	
	https://github.com/myshiqiqi/rime-wubi	五笔，86，98和新世纪，镜像 [空山明月/Rime五笔](https://gitee.com/hi-coder/rime-wubi)
	https://github.com/myshiqiqi/rime-wubi-yinfu	五笔音辅版，镜像 [空山明月/Rime五笔-音辅版](https://gitee.com/hi-coder/rime-wubi-yinfu)
	https://github.com/networm/Rime	
	https://github.com/Openvingen/rime-zhengma	
	https://github.com/philipposkhos/rime-ms-quick	
	https://github.com/PokeGuys/rime-simplex	Yahoo奇摩輸入法（Yahoo! KeyKey）Windows版速成
	https://github.com/raines1220/ghcm	
	https://github.com/rime/rime-array	
	https://github.com/rime/rime-cangjie	
	https://github.com/rime/rime-quick	
	https://github.com/rime/rime-stroke	
	https://github.com/rime/rime-wubi	
	https://github.com/roninro/rime-wubi	
	https://github.com/SkatingCN/rime-mishi-wubi	米十五笔输入方案 <http://xukt.ysepan.com/>
	https://github.com/SyzygyYuan/HaiFengWuBi	海峰五笔
	https://github.com/thep0y/rime-98	
	https://github.com/tsaoshuang/Rime-tiger_code	
	https://github.com/undus5/rime-wubi86s	
	https://github.com/Verf/wubi-norman	
	https://github.com/vfreex/rime-zhengma	
	https://github.com/X1aomu/rime-uggx	
	https://github.com/xiaodoujiang/092r	
	https://github.com/xkinput/KeyTao	xkinput/Rime_JD （吅吅大山-星空键道6）
	https://github.com/yanhuacuo/98wubi	
	https://github.com/YQ-YSY/one-hand_Rime	
	https://github.com/ywxt/rime-huma	
	https://github.com/ywxt/rime-sunman	
	https://github.com/ywxt/rime-yustar	
	https://github.com/zekexiao/xtlb-rime	
	https://github.com/zhmars/rime-wubi-simp	
	https://github.com/zongxinbo/rime-zong	
### 音形混合方案		
